Date,Region,Product,Units_Sold,Unit_Price,Total_Sales
2022-02-16,South,Product C,86,436.4,37530.4
2022-02-16,East,Product C,71,498.65,35404.15
2022-02-16,West,Product C,40,284.23,11369.2
2022-02-16,Central,Product C,49,345.7,16939.3
2022-02-17,East,Product D,65,233.61,15184.65
2022-02-17,East,Product A,89,436.1,38812.9
2022-02-17,North,Product A,1,482.39,482.39
2022-02-17,West,Product B,69,465.43,32114.67
2022-02-18,Central,Product C,25,209.95,5248.75
2022-02-18,East,Product B,10,407.17,4071.7
2022-02-18,West,Product A,54,471.35,25452.9
2022-02-18,North,Product D,92,141.11,12982.12
2022-02-19,East,Product B,96,378.17,36304.32
2022-02-19,North,Product A,75,178.04,13353.0
2022-02-19,West,Product A,55,66.99,3684.45
2022-02-19,South,Product D,90,272.08,24487.2
2022-02-19,West,Product E,95,179.67,17068.65
2022-02-20,West,Product E,85,68.23,5799.55
2022-02-20,East,Product C,89,351.24,31260.36
2022-02-20,East,Product D,42,290.31,12193.02
2022-02-20,West,Product A,33,359.61,11867.13
2022-02-21,North,Product A,17,478.21,8129.57
2022-02-21,South,Product A,29,493.69,14317.01
2022-02-21,West,Product D,61,235.05,14338.05
2022-02-22,North,Product C,83,99.66,8271.78
2022-02-22,West,Product E,19,375.1,7126.9
2022-02-22,West,Product B,2,454.96,909.92
2022-02-22,South,Product D,39,414.26,16156.14
2022-02-23,East,Product E,52,295.71,15376.92
2022-02-23,West,Product B,14,353.03,4942.42
2022-02-23,East,Product B,81,474.36,38423.16
2022-02-23,West,Product B,27,190.83,5152.41
2022-02-23,West,Product E,88,276.08,24295.04
2022-02-23,East,Product A,53,260.53,13808.09
2022-02-23,East,Product C,68,161.93,11011.24
2022-02-24,North,Product C,77,313.3,24124.1
2022-02-24,North,Product C,35,219.22,7672.7
2022-02-24,East,Product A,19,360.37,6847.03
2022-02-24,North,Product C,12,318.17,3818.04
2022-02-24,West,Product A,20,278.74,5574.8
2022-02-25,East,Product D,83,258.92,21490.36
2022-02-25,West,Product A,94,279.15,26240.1
2022-02-25,Central,Product A,91,154.87,14093.17
2022-02-25,West,Product D,89,95.01,8455.89
2022-02-26,South,Product B,72,213.81,15394.32
2022-02-26,East,Product C,57,263.88,15041.16
2022-02-27,North,Product B,98,147.51,14455.98
2022-02-27,North,Product D,11,67.66,744.26
2022-02-27,West,Product E,21,393.19,8256.99
2022-02-27,Central,Product B,85,338.32,28757.2
2022-02-27,South,Product D,60,113.4,6804.0
2022-02-27,West,Product C,8,255.25,2042.0
2022-02-28,West,Product E,96,303.19,29106.24
2022-02-28,Central,Product E,17,126.45,2149.65
2022-02-28,South,Product C,75,324.25,24318.75
2022-02-28,North,Product E,82,457.29,37497.78
2022-03-01,East,Product A,2,326.52,653.04
2022-03-01,South,Product B,11,460.5,5065.5
2022-03-02,South,Product A,92,110.94,10206.48
2022-03-02,North,Product A,81,259.19,20994.39
2022-03-02,North,Product D,84,358.63,30124.92
2022-03-02,Central,Product B,42,443.41,18623.22
2022-03-02,North,Product E,31,376.21,11662.51
2022-03-02,South,Product C,40,448.26,17930.4
2022-03-03,South,Product C,45,477.77,21499.65
2022-03-03,North,Product E,12,332.47,3989.64
2022-03-03,West,Product C,53,405.44,21488.32
2022-03-04,North,Product C,52,472.36,24562.72
2022-03-04,East,Product D,91,444.33,40434.03
2022-03-04,Central,Product C,75,321.91,24143.25
2022-03-05,South,Product A,75,420.68,31551.0
2022-03-05,North,Product D,55,393.49,21641.95
2022-03-05,West,Product B,77,80.76,6218.52
2022-03-06,West,Product C,50,201.62,10081.0
2022-03-06,Central,Product A,45,422.72,19022.4
2022-03-06,South,Product B,67,412.74,27653.58
2022-03-06,North,Product D,62,418.62,25954.44
2022-03-07,South,Product E,72,355.69,25609.68
2022-03-07,North,Product D,35,429.89,15046.15
2022-03-08,Central,Product D,99,470.86,46615.14
2022-03-08,South,Product A,58,169.27,9817.66
2022-03-08,South,Product E,42,302.11,12688.62
2022-03-09,West,Product B,98,467.34,45799.32
2022-03-09,South,Product C,54,395.28,21345.12
2022-03-09,West,Product A,81,403.0,32643.0
2022-03-10,Central,Product E,30,141.67,4250.1
2022-03-10,South,Product B,58,293.92,17047.36
2022-03-10,East,Product E,72,73.01,5256.72
2022-03-10,West,Product E,52,188.99,9827.48
2022-03-10,East,Product E,56,279.6,15657.6
2022-03-11,North,Product A,50,200.33,10016.5
2022-03-12,North,Product E,81,110.41,8943.21
2022-03-12,West,Product E,51,295.47,15068.97
2022-03-13,Central,Product D,4,431.43,1725.72
2022-03-13,East,Product D,21,387.92,8146.32
2022-03-13,Central,Product E,60,348.97,20938.2
2022-03-13,Central,Product B,29,416.33,12073.57
2022-03-13,East,Product C,5,302.73,1513.65
2022-03-13,East,Product A,26,444.07,11545.82
2022-03-14,North,Product C,32,465.99,14911.68
2022-03-14,East,Product A,76,98.57,7491.32
2022-03-14,North,Product B,68,79.53,5408.04
2022-03-14,West,Product B,22,338.96,7457.12
2022-03-14,South,Product B,28,54.48,1525.44
2022-03-14,South,Product B,49,170.45,8352.05
2022-03-14,West,Product C,16,106.55,1704.8
2022-03-14,South,Product A,70,402.08,28145.6
2022-03-15,West,Product E,79,201.27,15900.33
2022-03-15,East,Product C,82,425.51,34891.82
2022-03-16,North,Product D,8,294.89,2359.12
2022-03-16,Central,Product E,83,309.63,25699.29
2022-03-16,East,Product B,61,264.71,16147.31
2022-03-16,South,Product E,98,196.48,19255.04
2022-03-16,Central,Product E,19,313.63,5958.97
2022-03-16,North,Product D,13,226.15,2939.95
2022-03-17,East,Product A,33,314.96,10393.68
2022-03-17,North,Product B,10,410.93,4109.3
2022-03-17,West,Product A,41,299.03,12260.23
2022-03-17,Central,Product A,69,126.84,8751.96
2022-03-17,Central,Product D,36,362.03,13033.08
2022-03-17,Central,Product B,44,190.7,8390.8
2022-03-17,North,Product E,9,440.75,3966.75
2022-03-18,Central,Product B,79,90.64,7160.56
2022-03-18,Central,Product A,2,131.13,262.26
2022-03-19,West,Product B,40,210.19,8407.6
2022-03-19,Central,Product D,41,185.27,7596.07
2022-03-19,North,Product E,8,457.22,3657.76
2022-03-19,West,Product E,94,122.5,11515.0
2022-03-19,North,Product D,92,234.43,21567.56
2022-03-20,North,Product E,61,147.95,9024.95
2022-03-20,Central,Product C,4,283.5,1134.0
2022-03-20,North,Product D,44,199.43,8774.92
2022-03-20,West,Product E,39,273.3,10658.7
2022-03-20,North,Product B,11,402.63,4428.93
2022-03-20,West,Product A,96,117.83,11311.68
2022-03-21,South,Product E,76,237.3,18034.8
2022-03-22,South,Product D,26,317.17,8246.42
2022-03-23,Central,Product C,48,479.26,23004.48
2022-03-23,South,Product A,76,267.3,20314.8
2022-03-23,West,Product D,8,453.21,3625.68
2022-03-23,South,Product B,18,231.69,4170.42
2022-03-24,North,Product B,48,99.99,4799.52
2022-03-24,Central,Product C,57,399.49,22770.93
2022-03-24,West,Product A,62,118.69,7358.78
2022-03-24,East,Product E,24,261.73,6281.52
2022-03-24,West,Product B,2,133.49,266.98
2022-03-24,East,Product D,98,326.93,32039.14
2022-03-24,South,Product B,6,135.86,815.16
2022-03-25,North,Product B,9,146.23,1316.07
2022-03-25,East,Product A,65,398.69,25914.85
2022-03-26,East,Product D,17,73.25,1245.25
2022-03-26,East,Product C,57,92.42,5267.94
2022-03-26,East,Product B,12,398.51,4782.12
2022-03-27,East,Product B,56,255.66,14316.96
2022-03-27,West,Product E,69,94.88,6546.72
2022-03-27,West,Product E,68,196.17,13339.56
2022-03-28,North,Product E,29,441.9,12815.1
2022-03-28,Central,Product C,31,123.19,3818.89
2022-03-28,East,Product E,47,124.1,5832.7
2022-03-28,North,Product D,66,414.69,27369.54
2022-03-28,East,Product E,87,128.56,11184.72
2022-03-28,East,Product E,76,52.26,3971.76
2022-03-29,Central,Product E,18,445.5,8019.0
2022-03-29,Central,Product A,9,124.79,1123.11
2022-03-29,South,Product E,90,209.9,18891.0
2022-03-29,West,Product C,35,445.87,15605.45
2022-03-30,East,Product C,3,409.55,1228.65
2022-03-30,South,Product D,55,254.38,13990.9
2022-03-30,West,Product A,32,304.54,9745.28
2022-03-31,North,Product D,61,455.67,27795.87
2022-03-31,South,Product B,77,279.62,21530.74
2022-03-31,South,Product D,71,474.04,33656.84
2022-03-31,Central,Product D,79,230.3,18193.7
2022-03-31,East,Product E,58,173.42,10058.36
2022-03-31,Central,Product D,46,419.71,19306.66
2022-03-31,Central,Product A,69,315.26,21752.94
2022-04-01,North,Product C,15,497.02,7455.3
2022-04-01,North,Product A,69,392.32,27070.08
2022-04-02,South,Product D,86,127.49,10964.14
2022-04-02,East,Product D,26,496.25,12902.5
2022-04-02,North,Product C,24,254.9,6117.6
2022-04-02,North,Product D,66,368.75,24337.5
2022-04-02,West,Product A,47,176.74,8306.78
2022-04-02,North,Product B,69,468.66,32337.54
2022-04-03,Central,Product B,16,171.49,2743.84
2022-04-03,South,Product A,57,121.48,6924.36
2022-04-03,North,Product D,88,317.71,27958.48
2022-04-03,South,Product E,7,362.89,2540.23
2022-04-03,East,Product D,79,268.5,21211.5
2022-04-03,North,Product E,3,495.45,1486.35
2022-04-04,South,Product D,71,404.72,28735.12
2022-04-05,North,Product E,72,253.55,18255.6
2022-04-05,West,Product E,2,437.48,874.96
2022-04-05,West,Product A,78,397.79,31027.62
2022-04-05,North,Product D,50,54.21,2710.5
2022-04-06,South,Product E,2,310.36,620.72
2022-04-06,North,Product C,73,84.18,6145.14
2022-04-06,West,Product E,57,352.44,20089.08
2022-04-06,Central,Product E,71,415.71,29515.41
2022-04-06,West,Product E,78,236.68,18461.04
2022-04-07,Central,Product E,10,346.08,3460.8
2022-04-07,East,Product E,96,310.58,29815.68
2022-04-08,North,Product A,54,411.37,22213.98
2022-04-08,Central,Product A,39,226.12,8818.68
2022-04-08,West,Product A,51,363.43,18534.93
2022-04-08,West,Product B,48,163.49,7847.52
2022-04-09,South,Product C,3,351.58,1054.74
2022-04-09,North,Product C,40,129.05,5162.0
2022-04-09,Central,Product C,94,475.95,44739.3
2022-04-09,South,Product A,64,402.48,25758.72
2022-04-09,West,Product A,96,136.08,13063.68
2022-04-10,West,Product E,20,154.52,3090.4
2022-04-10,North,Product C,66,408.01,26928.66
2022-04-11,West,Product D,64,275.96,17661.44
2022-04-11,West,Product D,98,435.32,42661.36
2022-04-11,West,Product D,70,269.71,18879.7
2022-04-11,North,Product A,66,242.52,16006.32
2022-04-12,South,Product C,3,386.62,1159.86
2022-04-12,East,Product B,51,477.08,24331.08
2022-04-12,South,Product D,88,179.0,15752.0
2022-04-13,South,Product D,92,135.21,12439.32
2022-04-13,South,Product A,94,411.92,38720.48
2022-04-13,East,Product B,56,362.18,20282.08
2022-04-14,Central,Product B,33,478.93,15804.69
2022-04-14,South,Product A,63,474.05,29865.15
2022-04-14,South,Product B,22,315.63,6943.86
2022-04-14,West,Product E,71,389.74,27671.54
2022-04-14,North,Product B,63,370.4,23335.2
2022-04-14,North,Product E,37,199.36,7376.32
2022-04-14,East,Product B,67,105.61,7075.87
2022-04-15,North,Product C,1,429.01,429.01
2022-04-15,East,Product C,29,268.42,7784.18
2022-04-15,East,Product E,13,277.28,3604.64
2022-04-15,South,Product E,26,414.96,10788.96
2022-04-15,West,Product C,25,300.03,7500.75
2022-04-16,North,Product B,88,234.72,20655.36
2022-04-16,North,Product D,3,201.76,605.28
2022-04-16,West,Product E,63,414.35,26104.05
2022-04-16,North,Product E,26,368.86,9590.36
2022-04-16,Central,Product D,30,353.04,10591.2
2022-04-17,East,Product A,85,119.61,10166.85
2022-04-17,North,Product D,1,191.41,191.41
2022-04-18,North,Product A,10,282.35,2823.5
2022-04-18,West,Product C,41,371.98,15251.18
2022-04-18,South,Product E,74,437.27,32357.98
2022-04-18,West,Product C,68,274.16,18642.88
2022-04-19,East,Product C,31,233.7,7244.7
2022-04-19,North,Product E,75,252.12,18909.0
2022-04-19,South,Product E,38,90.33,3432.54
2022-04-19,Central,Product E,35,325.62,11396.7
2022-04-19,Central,Product E,86,73.29,6302.94
2022-04-19,North,Product D,75,101.59,7619.25
2022-04-19,North,Product A,35,326.78,11437.3
2022-04-19,North,Product C,86,291.7,25086.2
2022-04-20,Central,Product E,28,455.62,12757.36
2022-04-21,West,Product D,68,373.37,25389.16
2022-04-21,West,Product B,82,403.99,33127.18
2022-04-21,South,Product C,42,248.05,10418.1
2022-04-21,Central,Product D,77,224.49,17285.73
2022-04-21,South,Product B,55,406.51,22358.05
2022-04-21,Central,Product E,15,257.44,3861.6
2022-04-21,South,Product C,7,482.01,3374.07
2022-04-21,South,Product B,8,170.96,1367.68
2022-04-21,West,Product D,75,171.5,12862.5
2022-04-21,Central,Product E,23,459.0,10557.0
2022-04-22,North,Product B,90,209.26,18833.4
2022-04-22,West,Product C,10,471.16,4711.6
2022-04-22,West,Product D,73,347.24,25348.52
2022-04-23,North,Product B,69,207.05,14286.45
2022-04-23,South,Product E,28,55.43,1552.04
2022-04-23,North,Product B,43,387.87,16678.41
2022-04-23,North,Product D,33,389.21,12843.93
2022-04-23,East,Product E,38,181.55,6898.9
2022-04-23,East,Product E,35,94.88,3320.8
2022-04-23,East,Product B,7,248.34,1738.38
2022-04-23,Central,Product B,5,250.26,1251.3
2022-04-23,East,Product C,66,83.89,5536.74
2022-04-24,North,Product B,63,99.04,6239.52
2022-04-24,Central,Product B,83,205.75,17077.25
2022-04-24,West,Product D,56,92.7,5191.2
2022-04-24,East,Product E,88,69.53,6118.64
2022-04-24,East,Product D,58,366.08,21232.64
2022-04-25,North,Product A,86,378.06,32513.16
2022-04-25,South,Product D,70,337.07,23594.9
2022-04-25,Central,Product C,78,415.02,32371.56
2022-04-26,South,Product B,59,320.62,18916.58
2022-04-26,East,Product C,41,460.96,18899.36
2022-04-26,West,Product A,46,402.19,18500.74
2022-04-26,East,Product B,76,203.05,15431.8
2022-04-26,North,Product C,5,150.75,753.75
2022-04-26,East,Product C,87,113.03,9833.61
2022-04-26,West,Product D,35,150.54,5268.9
2022-04-26,North,Product E,11,448.1,4929.1
2022-04-27,South,Product A,74,280.41,20750.34
2022-04-27,South,Product B,62,61.9,3837.8
2022-04-27,West,Product D,43,82.56,3550.08
2022-04-28,East,Product D,8,481.57,3852.56
2022-04-28,Central,Product E,12,326.48,3917.76
2022-04-28,North,Product A,5,229.61,1148.05
2022-04-28,North,Product E,52,249.85,12992.2
2022-04-28,West,Product A,96,244.88,23508.48
2022-04-28,South,Product C,9,290.18,2611.62
2022-04-29,East,Product A,3,348.42,1045.26
2022-04-29,East,Product D,78,208.05,16227.9
2022-04-29,East,Product E,93,217.85,20260.05
2022-04-30,West,Product B,8,59.97,479.76
2022-04-30,West,Product D,16,383.99,6143.84
2022-05-01,South,Product C,93,243.3,22626.9
2022-05-01,South,Product B,18,314.45,5660.1
2022-05-02,South,Product D,42,424.21,17816.82
2022-05-02,South,Product A,42,92.99,3905.58
2022-05-02,North,Product A,9,410.86,3697.74
2022-05-02,West,Product C,22,425.85,9368.7
2022-05-02,Central,Product A,97,359.05,34827.85
2022-05-02,West,Product A,64,389.78,24945.92
2022-05-02,South,Product E,17,81.95,1393.15
2022-05-03,Central,Product B,57,396.69,22611.33
2022-05-03,South,Product E,87,108.59,9447.33
2022-05-03,East,Product E,55,303.52,16693.6
2022-05-03,West,Product E,96,195.61,18778.56
2022-05-04,West,Product B,53,286.22,15169.66
2022-05-04,East,Product E,39,386.78,15084.42
2022-05-04,East,Product C,25,441.46,11036.5
2022-05-04,Central,Product E,34,423.02,14382.68
2022-05-04,West,Product D,73,56.73,4141.29
2022-05-05,West,Product C,51,197.4,10067.4
2022-05-05,West,Product E,90,443.1,39879.0
2022-05-05,West,Product B,94,53.74,5051.56
2022-05-05,South,Product E,49,75.48,3698.52
2022-05-05,West,Product A,79,451.45,35664.55
2022-05-05,North,Product B,71,235.3,16706.3
2022-05-06,North,Product A,83,299.79,24882.57
2022-05-06,West,Product B,28,173.49,4857.72
2022-05-06,East,Product A,42,244.28,10259.76
2022-05-06,Central,Product B,36,360.45,12976.2
2022-05-06,Central,Product E,99,322.93,31970.07
2022-05-07,Central,Product A,46,53.53,2462.38
2022-05-07,Central,Product C,8,358.99,2871.92
2022-05-07,North,Product A,87,338.8,29475.6
2022-05-08,Central,Product E,21,301.01,6321.21
2022-05-08,South,Product E,99,339.6,33620.4
2022-05-08,West,Product B,20,420.84,8416.8
2022-05-08,South,Product D,99,473.89,46915.11
2022-05-08,Central,Product D,6,159.22,955.32
2022-05-09,West,Product E,73,259.64,18953.72
2022-05-09,West,Product D,80,142.53,11402.4
2022-05-09,North,Product D,48,101.93,4892.64
2022-05-09,South,Product C,82,111.15,9114.3
2022-05-09,East,Product D,24,347.75,8346.0
2022-05-09,South,Product E,33,234.97,7754.01
2022-05-09,East,Product D,80,454.66,36372.8
2022-05-10,West,Product E,1,102.45,102.45
2022-05-10,South,Product A,77,230.74,17766.98
2022-05-10,West,Product C,26,402.32,10460.32
2022-05-10,Central,Product A,38,290.78,11049.64
2022-05-10,South,Product D,72,85.84,6180.48
2022-05-10,North,Product C,18,153.79,2768.22
2022-05-11,South,Product A,54,108.04,5834.16
2022-05-11,North,Product C,41,473.32,19406.12
2022-05-11,West,Product D,78,199.7,15576.6
2022-05-11,South,Product E,55,310.2,17061.0
2022-05-11,East,Product A,48,191.75,9204.0
2022-05-12,South,Product E,51,129.24,6591.24
